year,trt,block,block.stat,month,doy,Anthophila,Hymenoptera,Diptera,Collembola,Orthoptera,Hemiptera,Thysanoptera,Coleoptera,Lepidoptera,Araneae,Psocodea,Neuroptera
2014,WPP,A,A,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,WPP,B,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,WPP,C,D,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,WPP,D,C,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,A,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,B,A,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,C,C,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,D,D,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,WPP,A,A,5,137,0,0,17,NA,0,0,0,0,0,0,1,0
2014,WPP,B,B,5,138,0,3,23,NA,0,5,0,11,1,1,0,0
2014,WPP,C,D,5,139,0,3,21,NA,0,7,0,13,1,0,1,0
2014,WPP,D,C,5,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,A,B,5,138,0,1,24,NA,0,6,0,9,11,2,0,0
2014,CSR,B,A,5,137,0,2,22,NA,0,1,0,0,1,0,0,0
2014,CSR,C,C,5,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,CSR,D,D,5,139,0,7,52,NA,0,1,0,11,1,1,2,0
2014,WPP,A,A,6,166,0,23,24,NA,0,7,0,82,1,4,1,0
2014,WPP,B,B,6,163,1,9,18,NA,2,5,0,18,4,0,0,0
2014,WPP,C,D,6,165,0,12,33,NA,0,3,0,15,5,2,1,1
2014,WPP,D,C,6,164,0,9,11,NA,1,1,0,17,1,1,0,0
2014,CSR,A,B,6,163,0,6,11,NA,2,2,0,13,1,0,0,1
2014,CSR,B,A,6,166,0,6,20,NA,2,4,0,39,1,1,1,0
2014,CSR,C,C,6,164,0,3,5,NA,2,0,0,3,1,2,0,0
2014,CSR,D,D,6,165,0,6,6,NA,1,1,0,19,0,2,0,0
2014,WPP,A,A,7,195,0,2,9,NA,0,3,0,0,1,0,0,0
2014,WPP,B,B,7,196,0,6,26,NA,0,4,0,12,1,1,2,0
